Title,Central Command
Revision,0
Date,2016-01-14
Generated,Wed 27 Jan 2016 06:30:29 PM UTC
Company,Contextual Electronics
Comment 1,CEDOC-0603
Comment 2,contextualelectronics.com
Comment 3,N/A
Comment 4,N/A
Total Parts,54
Total Unique Parts,26



Ref,Qty,Value,Digi-Key,Farnell,Link,MPN,
C101 C104 C107 C201 C301 C302 C304 ,7,.1U,, ,2496944, ,0805B104K500CT
C102 C103 ,2,20P,, ,2332762, ,08055A200JAT2A
C105 C108 ,2,1U,, ,1856632, ,MCSH31B105K100CT
C106 C109 ,2,10U,, ,2320921, ,MC1206B106K160CT
C305 ,1,10U,, ,	9227989, ,C1210C106Z4VACTU
C306 ,1,10U,, ,9227989, ,C1210C106Z4VACTU
C303 ,1,4.7U,, ,1845775, ,GRM32RR71C475KA01L
D301 D302 ,2,D_Schottky,, ,1843713,http://parts.io/detail/305034/B130-13-F,B130-13-F
D303 D304 ,2,LED,, ,2062259, ,SML-LXT0805GW-TR
L101 ,1,10uH,, ,1515399, ,LQH31CN100K03L
L301 ,1,FERRITE,, ,1800342, ,742792605
P102 P101 ,2,CONN_01X10,, ,1022261, ,M20-9991046
P105 P103 P202 P203 ,4,CONN_01X04,, ,1022251, ,M20-9990446
P106 P104 P302 ,3,CONN_01X02,, ,1022247, ,M20-9990246
P201 ,1,CONN_01X06,, ,1022255, ,M20-9990646
P204 ,1,CONN_01X03,, ,1022249, ,M20-9990346
P301 ,1,USB_B,,609-4616-1-ND,2506569,http://parts.io/detail/93261255/10118193-0001LF,10118193
R203 R209 R208 R207 R206 R301 R302 R303 ,8,0,, ,9333681, ,MC01W08050R
R201 R202 R204 ,3,10K,, ,2447553, ,MCWR08X1002FTL
R306 R307 ,2,270,, ,2447618, ,MCWR08X2700FTL
R304 R305 ,2,NOPE,, , , , 
SW201 ,1,PushButton,, ,2468760,http://www.digikey.com/product-detail/en/FSM2JSMAA/FSM2JSMAA-ND/2400228,FSM2JSMAA
U101 ,1,STM32F030C8,, ,2393634, ,STM32F030C8
U301 ,1,MCP1700T,, ,1296592,http://parts.io/detail/1370896/MCP1700T-3302E%2FTT,MCP1700T-3302E/TT_
U302 ,1,FT232RQ,, ,1146033,http://parts.io/detail/3622205/FT232RQ-REEL,FT232RQ-REEL
Y101 ,1,Crystal,, ,2063945,http://parts.io/detail/343558/FOXSLF%2F080-20,FOXSLF/080-20




BOM made with KICAD_BOM_WIZARD (https://github.com/HashDefineElectronics/KiCad_BOM_Wizard.git)
Generated Wed 27 Jan 2016 06:30:29 PM UTC
